keys,fr
Files,Fichiers
Languages,Langues
Help,Aide
GitHub page...,Page GitHub...
Audio source file,Fichier audio source
Source path,Chemin du ficher source
Browse...,Ouvrir...
Converted WAV (optional),Emplacement du fichier WAV converti
Keep converted WAV after unmix,Garder le fichier WAV après démix
WAV path,Chemin du WAV
Choose...,Choisir...
Destination folder,Répertoire de destination
Directory path,Chemin du répertoire
Open destination directory when done,Ouvrir le répertoire de destination une fois terminé
Unmix,Démixer
Abort,Annuler
Quit,Quitter
Error,Erreur
Please only drop one file.,Ne déposer qu'un seul fichier à la fois.
Wrong file mode sent,Mauvais mode de fichier.
Invalid paths to unmix,Chemin invalide pour démixer
Done!,Terminé !
